M                     20.          25.          30.          40.
Mrem                 2.23         1.97         4.05         4.51
H__1          0.89473E+01  0.10165E+02  0.10136E+02  0.10290E+02
H__2          0.18403E-12  0.20067E-12  0.28856E-12  0.38834E-13
He_3          0.17538E-03  0.18528E-03  0.18405E-03  0.17993E-03
He_4          0.70257E+01  0.84933E+01  0.79331E+01  0.81235E+01
Li_6          0.61166E-15  0.66521E-15  0.95839E-15  0.12849E-15
Li_7          0.43136E-12  0.10208E-12  0.80077E-12  0.46211E-11
Be_9          0.62718E-15  0.39348E-15  0.18752E-15  0.94849E-17
B_10          0.29144E-10  0.30872E-10  0.30367E-10  0.65730E-11
B_11          0.27883E-08  0.13908E-09  0.13684E-09  0.28327E-10
C_12          0.83235E-01  0.12786E+00  0.13596E+00  0.37300E+00
C_13          0.29131E-03  0.38276E-03  0.33909E-03  0.36780E-03
N_14          0.18422E-01  0.31483E-01  0.20048E-01  0.25214E-01
N_15          0.27409E-04  0.94450E-04  0.55874E-05  0.13535E-04
O_16          0.78824E+00  0.20666E+01  0.38234E+01  0.68024E+01
O_17          0.10344E-03  0.11201E-03  0.12020E-03  0.15731E-03
O_18          0.66782E-03  0.78034E-03  0.43762E-04  0.65126E-03
F_19          0.48688E-05  0.84781E-04  0.55723E-05  0.85037E-05
Ne20          0.14181E+00  0.63453E+00  0.49221E+00  0.11501E+01
Ne21          0.31237E-03  0.35702E-03  0.41291E-03  0.86176E-03
Ne22          0.14206E-02  0.45426E-02  0.29993E-02  0.79858E-03
Na23          0.20455E-02  0.46792E-02  0.65581E-02  0.13184E-01
Mg24          0.80963E-01  0.22702E+00  0.19136E+00  0.40128E+00
Mg25          0.16380E-02  0.47750E-02  0.49366E-02  0.96460E-02
Mg26          0.16948E-02  0.52694E-02  0.56405E-02  0.10177E-01
Al27          0.36360E-02  0.10443E-01  0.11785E-01  0.22852E-01
Si28          0.10367E+00  0.12224E+00  0.35633E+00  0.57424E+00
Si29          0.17816E-02  0.22744E-02  0.48643E-02  0.66331E-02
Si30          0.19861E-02  0.23198E-02  0.48249E-02  0.73655E-02
P_31          0.46830E-03  0.52936E-03  0.13509E-02  0.20013E-02
S_32          0.32974E-01  0.40163E-01  0.15368E+00  0.22973E+00
S_33          0.29295E-03  0.30456E-03  0.10476E-02  0.15215E-02
S_34          0.13937E-02  0.12467E-02  0.47947E-02  0.72221E-02
S_36          0.51499E-05  0.23149E-05  0.87447E-05  0.12252E-04
Cl35          0.74557E-04  0.81132E-04  0.28966E-03  0.41601E-03
Cl37          0.23914E-04  0.34098E-04  0.10628E-03  0.15768E-03
Ar36          0.43989E-02  0.60176E-02  0.22791E-01  0.34008E-01
Ar38          0.42765E-03  0.37816E-03  0.17793E-02  0.24773E-02
Ar40          0.14558E-05  0.38092E-06  0.28658E-05  0.19338E-05
K_39          0.43175E-04  0.41508E-04  0.17228E-03  0.21450E-03
K_40          0.22476E-07  0.32933E-07  0.85460E-07  0.10785E-06
K_41          0.43787E-05  0.46574E-05  0.19023E-04  0.23245E-04
Ca40          0.30648E-02  0.46908E-02  0.16691E-01  0.25456E-01
Ca42          0.10905E-04  0.91873E-05  0.44377E-04  0.58082E-04
Ca43          0.10852E-05  0.95519E-06  0.11163E-05  0.21833E-05
Ca44          0.28570E-04  0.10602E-03  0.11218E-03  0.22559E-03
Ca46          0.23518E-06  0.14271E-06  0.69444E-06  0.42789E-06
Ca48          0.10653E-05  0.60311E-06  0.97813E-06  0.13582E-05
Sc45          0.60850E-06  0.61209E-06  0.15212E-05  0.17904E-05
Ti46          0.45180E-05  0.78698E-05  0.19853E-04  0.25500E-04
Ti47          0.15723E-05  0.87999E-05  0.12249E-04  0.12368E-04
Ti48          0.48921E-04  0.15868E-03  0.23014E-03  0.42961E-03
Ti49          0.14914E-05  0.44607E-05  0.64890E-05  0.11630E-04
Ti50          0.82872E-06  0.19556E-05  0.25355E-05  0.48513E-05
V_50          0.10197E-07  0.20190E-07  0.41005E-07  0.75788E-07
V_51          0.31721E-05  0.22602E-04  0.21771E-04  0.27365E-04
Cr50          0.14872E-04  0.20452E-04  0.56923E-04  0.80335E-04
Cr52          0.26912E-03  0.84763E-03  0.17066E-02  0.32837E-02
Cr53          0.21429E-04  0.53632E-04  0.10550E-03  0.19934E-03
Cr54          0.23391E-05  0.51456E-05  0.57630E-05  0.92892E-05
Mn55          0.90507E-04  0.16684E-03  0.32565E-03  0.58070E-03
Fe54          0.81568E-03  0.11718E-02  0.30013E-02  0.49746E-02
Fe56          0.31072E-01  0.83247E-01  0.15305E+00  0.27347E+00
Fe57          0.99304E-03  0.19315E-02  0.33119E-02  0.62627E-02
Fe58          0.54805E-04  0.16207E-03  0.17741E-03  0.28384E-03
Co59          0.49039E-04  0.36698E-03  0.33060E-03  0.44650E-03
Ni58          0.29981E-03  0.91545E-03  0.94186E-03  0.15097E-02
Ni60          0.10092E-02  0.29749E-02  0.49165E-02  0.82780E-02
Ni61          0.14967E-03  0.92318E-04  0.29272E-03  0.36023E-03
Ni62          0.12251E-03  0.17175E-03  0.27774E-03  0.62086E-03
Ni64          0.16557E-04  0.80695E-04  0.11002E-03  0.26598E-03
Cu63          0.88419E-05  0.42350E-04  0.47664E-04  0.91291E-04
Cu65          0.75237E-05  0.28378E-04  0.48558E-04  0.11240E-03
Zn64          0.36278E-04  0.31879E-03  0.35608E-03  0.58373E-03
Zn66          0.21044E-04  0.48513E-04  0.10843E-03  0.21317E-03
Zn67          0.14519E-05  0.71167E-05  0.11375E-04  0.28129E-04
Zn68          0.78566E-05  0.36953E-04  0.75493E-04  0.18404E-03
Zn70          0.23856E-06  0.19697E-06  0.13340E-05  0.29828E-05
Ga69          0.13562E-05  0.53933E-05  0.14861E-04  0.34300E-04
Ga71          0.11000E-05  0.39497E-05  0.93605E-05  0.21575E-04
Ge70          0.19161E-05  0.83249E-05  0.23700E-04  0.49780E-04
Ge72          0.17451E-05  0.88822E-05  0.26849E-04  0.62350E-04
Ge73          0.31935E-06  0.16655E-05  0.42763E-05  0.10749E-04
Ge74          0.25819E-05  0.17728E-04  0.70039E-04  0.15612E-03
