Mass   H        He     Li      C12       C13       N14       O16       O17       O18       F19       NE20      NE22     NA23      MG24       MG25      MG26     AL26       AL27      SI28     mass_in_remnants
  7.50 -6.67e-01  6.67e-01 -4.55e-08 -2.74e-03  7.57e-05  8.51e-03 -6.24e-03  6.54e-05  3.61e-07 -2.63e-07  7.44e-05 -1.63e-04  9.29e-05 -8.72e-04  8.15e-04 -2.08e-05  7.80e-06  1.05e-04  1.46e-05  1.28
  7.00 -5.88e-01  5.88e-01 -4.93e-08 -2.57e-03  6.77e-05  8.13e-03 -6.06e-03  4.98e-05  1.59e-07 -2.52e-07  7.12e-05 -1.53e-04  8.13e-05 -8.23e-04  7.60e-04 -1.39e-05  9.00e-06  1.01e-04  1.19e-05  1.19
  6.50 -5.19e-01  5.19e-01 -4.66e-08 -2.40e-03  6.42e-05  7.87e-03 -5.97e-03  3.78e-05  9.98e-08 -2.37e-07  6.43e-05 -1.43e-04  3.63e-04 -7.78e-04  7.00e-04 -7.33e-06  1.04e-05  1.07e-04  9.61e-06  1.10
  6.00 -4.81e-01  4.80e-01 -4.31e-08 -2.03e-03  8.60e-05  7.99e-03 -5.57e-03  2.82e-05  2.66e-08 -2.29e-07  5.79e-05 -1.29e-04  7.05e-05 -7.14e-04  6.35e-04 -1.57e-06  1.19e-05  1.09e-04  7.63e-06  1.03
  5.50 -4.17e-01  4.17e-01 -4.05e-08 -1.83e-03  6.12e-05  7.23e-03 -5.53e-03  2.06e-05  1.09e-08 -2.08e-07  4.77e-05 -1.10e-04  7.00e-05 -5.95e-04  5.16e-04  1.48e-06  1.23e-05  1.07e-04  5.50e-06  0.99
  5.00 -3.26e-01  3.22e-01 -3.65e-08 -8.66e-04  1.29e-04  9.40e-03 -4.59e-03  1.59e-05  5.93e-09 -1.85e-07  4.57e-05 -8.87e-05  9.77e-05 -4.23e-04  3.71e-04  4.11e-06  1.13e-05  8.68e-05  6.93e-06  0.94
  4.50 -2.38e-01  2.32e-01 -3.14e-08 -6.51e-04  1.41e-04  9.82e-03 -3.37e-03  1.43e-05  4.09e-09 -9.67e-08  4.38e-05 -7.03e-05  1.77e-04 -2.21e-04  2.43e-04  1.43e-05  8.07e-06  5.54e-05  7.12e-06  0.90
  4.00 -1.49e-01  1.40e-01 -2.80e-08 -2.28e-04  1.46e-04  1.01e-02 -1.23e-03  1.44e-05  3.37e-09 -1.28e-07  2.89e-05 -5.95e-05  1.39e-04 -6.38e-05  8.35e-05  9.33e-06  3.35e-06  3.23e-05  7.58e-06  0.87
  3.50 -7.05e-02  6.13e-02 -1.83e-08  3.26e-04  1.42e-04  8.51e-03  2.58e-05  1.20e-05  2.65e-09 -8.42e-08  3.97e-05 -2.30e-05  1.46e-04 -9.28e-06  3.48e-05  1.18e-05  1.50e-06  1.97e-05  6.42e-06  0.85
  3.00 -6.78e-02  4.37e-02 -2.25e-08  1.83e-02  7.91e-07  6.27e-04  4.57e-03  9.29e-06  1.98e-09  4.94e-08  8.25e-05  2.24e-04  1.36e-05 -6.41e-06  1.29e-04  4.19e-05  2.01e-09  7.38e-05  3.72e-06  0.75
  2.50 -8.27e-02  5.20e-02 -1.84e-08  2.55e-02  1.42e-05  6.43e-04  3.66e-03  9.93e-06  2.14e-09  3.21e-07  1.11e-05  7.25e-04  1.68e-05  0.00e+00  6.94e-05  3.53e-05  2.39e-09  2.03e-05  0.00e+00  0.64
  2.00 -7.90e-02  4.61e-02 -1.38e-08  2.60e-02  1.30e-05  4.19e-04  5.19e-03  1.07e-05  2.52e-09  2.89e-06  2.13e-06  1.20e-03  2.18e-05  0.00e+00  1.64e-05  1.54e-05  1.93e-09  3.35e-06  0.00e+00  0.63
  1.75 -3.56e-02  3.00e-02 -1.16e-08  4.88e-03  1.22e-05  2.47e-04  3.76e-04  1.09e-06  2.97e-10  1.52e-07  1.06e-06  7.63e-05  1.05e-06  0.00e+00  1.44e-06  1.17e-06  2.66e-10  4.06e-07  0.00e+00  0.62
  1.50 -3.26e-02  2.60e-02 -9.24e-09  5.82e-03  1.01e-05  1.72e-04  4.99e-04  9.52e-07  3.71e-10  4.52e-07  0.00e+00  1.26e-04  1.76e-06  0.00e+00  8.13e-07  8.53e-07  7.79e-11  5.16e-08  0.00e+00  0.58
  1.25 -1.91e-02  1.65e-02 -6.71e-09  2.34e-03  7.38e-06  9.57e-05  1.23e-04  5.88e-07  2.71e-10  1.48e-07  0.00e+00  3.77e-05  6.79e-07  0.00e+00  2.44e-07  2.51e-07  7.92e-11  2.39e-08  0.00e+00  0.58
  1.00 -1.10e-02  1.01e-02 -4.47e-09  8.33e-04  4.56e-06  4.10e-05  4.23e-05  6.82e-07  3.58e-10  5.10e-08  0.00e+00  1.25e-05  2.49e-07  0.00e+00  4.92e-08  5.64e-08  3.71e-11  5.67e-09  0.00e+00  0.56
  
