Mass    H        He     Li      C12       C13       N14       O16       O17       O18       F19       NE20      NE22      NA23     MG24       MG25      MG26     AL26       AL27      SI28     mass_in_remnants
  8.00 -6.07e-01  5.90e-01  1.31e-07 -1.88e-02  5.32e-04  3.30e-02 -1.25e-02  2.59e-04  8.03e-07 -1.99e-06  0.00e+00  1.44e-02  3.66e-05 -7.97e-04  9.34e-04  1.76e-06  4.70e-06  3.37e-06  5.67e-06  1.23
  7.50 -6.34e-01  6.33e-01  5.85e-08 -1.81e-02  4.06e-04  3.30e-02 -1.46e-02  2.22e-04  3.60e-07 -2.19e-06  0.00e+00  7.25e-06  3.10e-05 -7.23e-04  8.53e-04  1.70e-06  4.76e-06  7.66e-07  1.08e-05  1.15
  7.00 -5.66e-01  5.65e-01  2.80e-08 -1.69e-02  3.96e-04  3.17e-02 -1.41e-02  1.46e-04  1.16e-07 -2.08e-06  0.00e+00  5.56e-06  3.00e-05 -6.45e-04  6.62e-04  3.35e-06  9.11e-06  6.17e-06  4.63e-06  1.06
  6.50 -4.70e-01  4.69e-01  2.50e-09 -1.58e-02  3.05e-04  2.97e-02 -1.32e-02  1.27e-04  7.15e-08 -2.03e-06  0.00e+00  4.68e-06  2.37e-05 -5.24e-04  5.24e-04  2.97e-06  7.92e-06  6.31e-06  3.07e-06  1.02
  6.00 -3.65e-01  3.64e-01 -1.74e-08 -1.44e-02  2.87e-04  2.65e-02 -1.18e-02  1.08e-04  5.92e-08 -1.91e-06  0.00e+00  9.27e-06  2.95e-05 -3.70e-04  3.76e-04  4.51e-06  7.41e-06  8.16e-06  4.12e-06  0.96
  5.50 -3.24e-01  3.21e-01 -3.07e-08 -1.25e-02  2.96e-04  2.59e-02 -1.07e-02  8.59e-05  1.83e-08 -1.80e-06  0.00e+00  3.08e-05  5.24e-05 -2.14e-04  2.37e-04  9.37e-06  4.28e-06  1.68e-05  5.93e-06  0.93
  5.00 -2.36e-01  2.33e-01 -2.66e-08 -1.14e-02  2.60e-04  2.33e-02 -9.03e-03  7.25e-05  1.44e-08 -1.59e-06  0.00e+00  2.82e-05  6.83e-05 -1.22e-04  1.40e-04  8.30e-06  2.59e-06  1.44e-05  5.01e-06  0.91
  4.50 -1.52e-01  1.48e-01 -2.70e-08 -9.95e-03  2.51e-04  2.02e-02 -6.63e-03  5.84e-05  1.17e-08 -1.32e-06  0.00e+00  2.61e-05  9.40e-05 -5.21e-05  7.32e-05  8.59e-06  1.20e-06  1.39e-05  4.33e-06  0.88
  4.00 -5.44e-02  4.92e-02 -1.77e-08 -8.28e-03  2.75e-04  1.65e-02 -3.58e-03  4.73e-05  2.35e-08 -9.55e-07  4.15e-05  4.19e-05  1.32e-04 -3.09e-05  6.13e-05  1.30e-05  8.02e-07  2.42e-05  2.93e-06  0.84
  3.50 -4.84e-02  3.75e-02 -9.60e-09 -4.46e-03  4.48e-04  1.38e-02 -7.18e-04  3.31e-05  2.47e-08  1.47e-07  4.90e-04  2.55e-04  1.36e-04 -1.34e-05  8.55e-05  3.09e-05  3.44e-07  4.00e-05  8.21e-04  0.79
  3.00 -9.86e-02  7.91e-02 -2.33e-08  1.38e-02  1.28e-04  4.54e-03 -3.85e-04  2.92e-05 -1.25e-05  8.49e-07  0.00e+00  1.28e-03  2.19e-05  0.00e+00  7.71e-05  4.42e-05  2.01e-09  1.10e-05  0.00e+00  0.67
  2.50 -5.31e-02  3.84e-02 -1.80e-08  1.09e-02  8.51e-05  2.49e-03  2.20e-04  2.66e-05 -8.17e-06  2.01e-06  0.00e+00  9.11e-04  1.44e-05  0.00e+00  2.18e-05  1.62e-05  1.01e-09  0.00e+00  0.00e+00  0.63
  2.25 -5.53e-02  4.37e-02 -1.61e-08  8.22e-03  8.64e-05  2.63e-03 -1.11e-04  3.50e-05 -8.21e-06  1.40e-06  0.00e+00  7.06e-04  1.07e-05  0.00e+00  1.88e-05  1.37e-05  9.94e-10  0.00e+00  0.00e+00  0.63
  2.00 -3.49e-02  2.67e-02 -1.38e-08  5.69e-03  8.70e-05  1.65e-03  3.65e-04 -4.13e-08 -3.36e-07  1.14e-06  0.00e+00  3.53e-04  4.99e-06  0.00e+00  6.16e-06  5.18e-06  4.27e-10  0.00e+00  0.00e+00  0.62
  1.75 -3.00e-02  2.27e-02 -1.13e-08  5.17e-03  9.96e-05  1.35e-03  3.08e-04 -4.17e-08 -3.36e-07  1.16e-06  0.00e+00  3.32e-04  4.81e-06  0.00e+00  5.42e-06  4.64e-06  5.63e-10  0.00e+00  0.00e+00  0.61
  1.50 -1.99e-02  1.60e-02 -8.91e-09  2.59e-03  6.24e-05  8.76e-04  1.81e-04 -1.63e-08 -1.83e-07  7.97e-07  0.00e+00  1.52e-04  2.23e-06  0.00e+00  2.00e-06  1.88e-06  2.91e-10  0.00e+00  0.00e+00  0.61
  1.25 -1.49e-02  1.32e-02 -6.57e-09  9.90e-04  4.60e-05  5.20e-04  7.67e-05 -4.07e-10 -9.05e-08  4.77e-07  0.00e+00  5.58e-05  8.15e-07  0.00e+00  5.25e-07  5.62e-07  1.09e-10  0.00e+00  0.00e+00  0.59
  1.00 -8.98e-03  8.74e-03 -4.37e-09  0.00e+00  2.73e-05  2.13e-04 -4.25e-06  1.48e-08  1.26e-11  1.58e-07  0.00e+00  2.28e-10  0.00e+00  0.00e+00  1.72e-12  4.08e-13  7.15e-13  0.00e+00  0.00e+00  0.56
