Mass   H      He        O         Mg           Si          Ca          Fe         Zn            K           Sc          Ti          Cr           Mn          Co          Ni
11.00  5.59  3.73    .136E+00  .6440E-01    .2170E-01   .1400E-02   .8000E-01  .3510E-04     .4040E-04   .2564E-05   .3300E-03   .2037E-02    .1290E-03   .1272E-03   .1670E-01
12.00  5.96  4.11    .210E+00  .5740E-01    .9090E-01   .1500E-01   .5500E-01  .3360E-04     .1712E-02   .2714E-05   .3960E-03   .2091E-02    .1400E-03   .2010E-04   .7000E-02
13.00  6.32  4.51    .272E+00  .1148E+00    .5850E-01   .3600E-02   .1460E+00  .4500E-04     .6160E-04   .2553E-05   .3990E-03   .1929E-02    .4490E-03   .2019E-04   .1120E-01
15.00  6.98  5.24    0.680     .1869E+00    .1100E+00   .1110E-01   .1297E+00  .7280E-04     .2544E-03   .6751E-05   .7515E-03   .1371E-02    .4710E-03   .3030E-04   .6800E-02
18.00  7.89  6.28    1.13      .3864E+00    .1370E+00   .6900E-02   .8300E-01  .1060E-03     .1176E-03   .2415E-05   .8400E-03   .8910E-03    .4040E-03   .4290E-04   .3760E-02
19.00  8.08  6.46    1.43      .1757E+00    .2770E+00   .1380E-01   .1170E+00  .1560E-03     .6952E-03   .6038E-05   .8670E-03   .7980E-03    .2060E-03   .7710E-04   .4680E-02
20.00  8.24  6.72    1.94      .2191E+00    .2880E+00   .1480E-01   .1060E+00  .3160E-03     .7496E-03   .1086E-04   .8700E-03   .5400E-03    .2130E-03   .8160E-04   .4440E-02
22.00  8.79  7.51    2.38      .2912E+00    .3560E+00   .1770E-01   .2225E+00  .3240E-03     .1200E-02   .2530E-04   .8940E-04   .4050E-03    .2300E-03   .8820E-04   .1120E-01
25.00  9.40  8.64    3.25      .7000E-01    .3150E+00   .1690E-01   .1500E+00  .4070E-03     .4032E-03   .2622E-05   .7500E-04   .3900E-03    .2580E-03   .7500E-03   .7590E-02
30.00  10.5  10.4    4.88      .7000E-01    .3160E+00   .1340E-01   .2500E-01  .3818E-03     .2648E-03   .1610E-05   .1500E-03   .4500E-03    .1040E-03   .8070E-03   .3350E-01
35.00  11.5  11.9    5.82      .7000E-01    .1120E+00   .1600E-02   .2770E-01  .4176E-03     .1328E-03   .1345E-05   .4500E-03   .4500E-03    .1330E-03   .7950E-03   .2040E-02
40.00  11.1  13.0    6.03      .7000E-01    .5460E-01   .1600E-02   .2830E-01  .3710E-03     .8960E-04   .1621E-05   .4560E-03   .9120E-04    .1340E-03   .8250E-03   .2120E-02
50.00  11.1  13.0    6.03      .7000E-01    .5460E-01   .1600E-02   .2830E-01  .3710E-03     .8960E-04   .1621E-05   .4560E-03   .6120E-04    .1340E-03   .8250E-03   .2120E-02
60.00  11.1  13.0    6.03      .7000E-01    .5460E-01   .1600E-02   .2830E-01  .3710E-03     .8960E-04   .1621E-05   .4560E-03   .3120E-04    .1340E-03   .8250E-03   .2120E-02
70.00  11.1  13.0    6.03      .7000E-01    .5460E-01   .1600E-02   .2830E-01  .3710E-03     .8960E-04   .1621E-05   .4560E-03   .3120E-04    .1340E-03   .8250E-03   .2120E-02
80.00  11.1  13.0    6.03      .7000E-01    .5460E-01   .1600E-02   .2830E-01  .3710E-03     .8960E-04   .1621E-05   .4560E-03   .3120E-04    .1340E-03   .8250E-03   .2120E-02
90.00  11.1  13.0    6.03      .7000E-01    .5460E-01   .1600E-02   .2830E-01  .3710E-03     .8960E-04   .1621E-05   .4560E-03   .3120E-04    .1340E-03   .8250E-03   .2120E-02
100.00 11.1  13.0    6.03      .7000E-01    .5460E-01   .1600E-02   .2830E-01  .3710E-03     .8960E-04   .1621E-05   .4560E-03   .3120E-04    .1340E-03   .8250E-03   .2120E-02
















































































































