 Mass    H        He     Li      C12       C13       N14       O16       O17       O18       F19       NE20      NE22     NA23      MG24       MG25      MG26     AL26       AL27      SI28     mass_in_remnants
  7.50 -6.75e-01  6.74e-01 -1.79e-08 -6.89e-05  2.10e-05  1.68e-03 -5.92e-04  6.68e-06 -1.78e-06 -1.38e-08  1.15e-05 -1.16e-05  9.74e-06 -8.01e-05  6.94e-05 -3.81e-06  7.93e-06  1.01e-05  1.25e-05  1.34
  7.00 -6.83e-01  6.83e-01 -5.53e-08 -1.00e-04  1.13e-05  1.15e-03 -8.51e-04  1.54e-06 -1.90e-06 -1.89e-08  1.24e-05 -1.13e-05  3.37e-07 -8.44e-05  5.45e-05 -5.40e-06  3.64e-07  1.66e-05  2.97e-05  1.25
  6.50 -6.10e-01  6.10e-01 -5.23e-08 -1.01e-04  8.45e-06  9.44e-04 -8.64e-04  3.39e-07 -1.79e-06 -1.85e-08  8.43e-06 -1.05e-05 -2.00e-07 -7.86e-05  3.54e-05 -5.39e-06  2.82e-07  1.76e-05  4.30e-05  1.18
  6.00 -5.61e-01  5.61e-01 -4.74e-08 -8.65e-05  7.80e-06  8.78e-04 -8.06e-04  2.06e-07 -1.66e-06 -1.72e-08  7.93e-06 -9.77e-06 -1.47e-07 -7.28e-05  2.86e-05 -5.11e-06  2.50e-07  1.63e-05  4.48e-05  1.08
  5.50 -4.78e-01  4.78e-01 -4.28e-08  2.00e-05  4.42e-05  8.34e-04 -7.06e-04  5.04e-08 -1.51e-06 -1.58e-08  6.70e-06 -8.69e-06  8.28e-08 -6.59e-05  1.61e-05 -4.65e-06  1.85e-07  1.60e-05  5.05e-05  1.02
  5.00 -3.97e-01  3.96e-01 -3.80e-08  7.42e-05  1.61e-05  1.18e-03 -6.11e-04  5.42e-08 -1.35e-06 -1.40e-08  6.29e-06 -7.53e-06  6.57e-07 -5.85e-05  1.13e-05 -3.79e-06  1.84e-07  2.12e-05  4.07e-05  0.98
  4.50 -3.11e-01  3.09e-01 -3.36e-08  2.55e-04  3.02e-05  2.48e-03 -3.66e-04  6.17e-07 -1.19e-06 -1.18e-08  2.05e-05 -5.12e-06  2.81e-06 -5.00e-05  2.05e-05 -8.24e-07  4.22e-07  3.07e-05  9.40e-06  0.94
  4.00 -2.32e-01  2.29e-01 -2.77e-08  3.21e-04  2.98e-05  2.96e-03 -1.78e-04  1.07e-06 -1.02e-06 -9.26e-09  9.15e-06 -3.72e-06  6.81e-06 -3.81e-05  2.71e-05  6.66e-07  7.15e-07  1.93e-05  2.00e-05  0.91
  3.50 -1.44e-01  1.39e-01 -2.33e-08  5.19e-04  6.20e-05  3.94e-03  2.36e-04  1.86e-06 -8.35e-07 -5.99e-09  3.87e-06  5.74e-07  1.79e-05 -1.07e-05  1.38e-05  1.28e-06  4.31e-07  4.85e-06  6.85e-07  0.88
  3.00 -5.62e-02  5.11e-02 -1.52e-08  5.95e-04  7.14e-05  3.88e-03  5.01e-04  1.97e-06 -6.40e-07 -1.42e-09  2.31e-06  4.18e-06  2.04e-05 -4.01e-07  5.42e-06  1.85e-06  1.30e-07  2.45e-06  6.26e-07  0.85
  2.50 -3.30e-02  2.26e-02 -1.73e-08  8.69e-03  1.77e-06  2.67e-05  1.53e-03  1.58e-06 -1.88e-07  5.11e-09  8.76e-06  8.85e-05  1.67e-06 -1.05e-07  1.76e-05  6.58e-06  4.27e-10  6.78e-06  7.32e-07  0.77
  2.00 -8.02e-02  4.50e-02 -1.33e-08  2.50e-02  9.33e-07  4.35e-05  9.01e-03  4.17e-06 -1.93e-07  5.34e-08  1.25e-04  7.17e-04  8.45e-06  1.23e-06  1.34e-04  5.41e-05  1.93e-09  6.07e-05  2.15e-06  0.65
  1.50 -3.04e-02  2.53e-02 -8.54e-09  4.82e-03  1.22e-05  1.86e-05  2.04e-04  6.23e-08 -1.51e-08  8.47e-08  0.00e+00  5.97e-05  3.03e-07 -6.90e-08  8.33e-07  6.81e-07  2.12e-10  2.85e-07  6.23e-08  0.64
  1.00 -1.25e-02  1.12e-02 -4.11e-09  1.25e-03  4.06e-07  1.04e-05  5.78e-05  1.75e-07 -1.04e-08  3.62e-08  0.00e+00  6.87e-06  1.38e-07  1.57e-09  1.10e-08  2.28e-08  2.27e-10  5.54e-08  5.28e-09  0.59
