Mass   H        He     Li      C12       C13       N14       O16       O17       O18       F19       NE20      NE22     NA23      MG24       MG25      MG26     AL26       AL27      SI28     mass_in_remnants
  8.00 -7.02e-01  7.01e-01  1.90e-07 -5.86e-03  1.70e-04  1.49e-02 -8.81e-03  1.93e-04  2.82e-06 -2.92e-07  5.69e-05 -2.72e-04  3.37e-04 -1.09e-03  1.27e-03 -3.52e-06  6.78e-06  7.00e-05  8.40e-06  1.32
  7.50 -6.63e-01  6.63e-01 -3.38e-08 -5.63e-03  1.28e-04  1.52e-02 -9.89e-03  1.21e-04  4.12e-07 -5.16e-07  1.05e-04 -3.26e-04  2.80e-04 -1.16e-03  1.20e-03  4.06e-06  1.40e-05  7.50e-05  6.72e-06  1.24
  7.00 -5.87e-01  5.87e-01 -4.80e-09 -5.24e-03  1.22e-04  1.42e-02 -9.25e-03  1.02e-04  2.19e-07 -4.87e-07  7.74e-05 -3.01e-04  2.31e-04 -1.16e-03  1.13e-03  4.87e-06  1.66e-05  8.64e-05  6.15e-06  1.16
  6.50 -5.29e-01  5.29e-01 -3.16e-08 -4.72e-03  1.32e-04  1.37e-02 -8.96e-03  7.70e-05  1.33e-07 -4.62e-07  7.69e-05 -2.82e-04  2.26e-04 -1.04e-03  9.88e-04  8.90e-06  1.85e-05  8.74e-05  5.93e-06  1.06
  6.00 -4.58e-01  4.58e-01 -4.01e-08 -4.40e-03  9.76e-05  1.32e-02 -9.12e-03  5.75e-05  2.39e-08 -4.53e-07  5.57e-05 -2.58e-04  2.10e-04 -8.39e-04  7.78e-04  8.25e-06  1.90e-05  8.56e-05  5.07e-06  1.00
  5.50 -3.66e-01  3.66e-01 -3.67e-08 -3.81e-03  9.91e-05  1.26e-02 -8.76e-03  4.26e-05  3.38e-08 -3.94e-07  4.73e-05 -2.31e-04  1.99e-04 -6.43e-04  5.82e-04  4.82e-06  1.71e-05  8.04e-05  4.35e-06  0.96
  5.00 -2.55e-01  2.54e-01 -3.62e-08 -3.18e-03  9.65e-05  1.17e-02 -7.44e-03  3.53e-05  2.31e-08 -3.49e-07  3.59e-05 -2.04e-04  2.01e-04 -4.11e-04  3.73e-04  2.80e-06  1.27e-05  5.95e-05  5.31e-06  0.93
  4.50 -1.70e-01  1.67e-01 -2.93e-08 -2.44e-03  1.18e-04  1.08e-02 -5.67e-03  2.95e-05  1.54e-08 -2.97e-07  2.48e-05 -1.73e-04  2.03e-04 -2.08e-04  1.92e-04  4.51e-06  8.45e-06  4.15e-05  6.13e-06  0.91
  4.00 -9.04e-02  8.60e-02 -2.34e-08 -1.96e-03  1.17e-04  9.51e-03 -3.42e-03  2.44e-05  1.33e-08 -2.30e-07  1.64e-05 -1.40e-04  2.06e-04 -6.51e-05  6.79e-05  5.90e-06  4.27e-06  2.54e-05  7.03e-06  0.88
  3.50 -6.41e-02  5.57e-02 -1.62e-08 -8.42e-04  1.70e-04  9.11e-03 -4.66e-04  1.83e-05  1.36e-08 -9.46e-08  2.16e-04 -4.96e-05  1.94e-04 -7.52e-06  3.99e-05  1.71e-05  1.53e-06  2.69e-05  5.71e-06  0.84
  3.00 -6.63e-02  4.62e-02 -2.16e-08  1.65e-02  1.13e-06  1.10e-03  1.89e-03  1.47e-05  4.70e-09  2.31e-07  2.17e-06  4.63e-04  2.20e-05 -1.01e-05  5.22e-05  2.58e-05  3.53e-09  2.02e-05  0.00e+00  0.67
  2.50 -7.12e-02  5.01e-02 -1.80e-08  1.84e-02  1.27e-06  1.04e-03  9.11e-04  1.57e-05  5.32e-09  1.90e-06  0.00e+00  7.16e-04  2.65e-05  0.00e+00  8.10e-06  8.37e-06  3.56e-09  4.03e-06  0.00e+00  0.63
  2.25 -5.15e-02  4.32e-02 -1.60e-08  6.85e-03  3.53e-05  1.07e-03  1.40e-04  1.59e-05  3.30e-09  5.54e-07  0.00e+00  2.12e-04  1.53e-05  0.00e+00  3.29e-06  3.67e-06  3.70e-09  1.97e-06  0.00e+00  0.62
  2.00 -4.19e-02  3.44e-02 -1.38e-08  6.06e-03  2.15e-07  7.48e-04  4.70e-04  1.37e-08  9.44e-11  7.36e-07  0.00e+00  1.67e-04  1.10e-05  0.00e+00  3.02e-06  2.48e-06  4.60e-10  0.00e+00  0.00e+00  0.62
  1.75 -2.91e-02  2.50e-02 -1.13e-08  3.35e-03  2.44e-05  4.54e-04  2.17e-04  1.45e-07  8.09e-11  4.03e-07  0.00e+00  8.70e-05  1.74e-06  0.00e+00  1.38e-06  1.20e-06  4.29e-10  0.00e+00  0.00e+00  0.62
  1.50 -2.43e-02  2.16e-02 -9.00e-09  2.20e-03  1.99e-05  3.17e-04  1.30e-04  8.47e-09  1.52e-10  3.21e-07  0.00e+00  5.41e-05  1.29e-06  0.00e+00  4.67e-07  4.71e-07  2.45e-10  0.00e+00  0.00e+00  0.60
  1.25 -1.68e-02  1.51e-02 -6.60e-09  1.42e-03  1.44e-05  1.79e-04  7.11e-05  2.38e-08  2.40e-10  1.53e-07  0.00e+00  3.42e-05  7.13e-07  0.00e+00  2.18e-07  2.47e-07  1.25e-10  0.00e+00  0.00e+00  0.59
  1.00 -8.35e-03  8.34e-03 -4.17e-09 -6.55e-05  8.38e-06  6.76e-05  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.58
