#Chemical Yields (solar masses)
#Z=0.04 
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22      NA23     MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.702      0.30     1e-8      6.92e-3  9.96e-5   2.02e-3   1.87e-2   7.20e-06  3.90e-05  1.00e-06  4.20e-03  2.71e-04  8.32e-05  1.60e-03      -         -        -      1.44e-04  1.76e-03  
  7.00 -5.22e-01  5.18D-01  1.25D-07 -3.72D-02  5.29D-04  6.28D-02 -2.27D-02  2.62D-04 -2.32D-04 -3.13D-06  2.99D-06 -1.24D-03  1.31D-03 -1.53D-04  1.66D-04  2.45D-07  1.02D-06  3.27D-07  6.92D-06  1.05
  6.50 -4.38e-01  4.35D-01  1.03D-07 -3.44D-02  4.94D-04  5.69D-02 -1.97D-02  2.19D-04 -2.14D-04 -2.76D-06 -9.92D-08 -1.14D-03  1.20D-03 -8.70D-05  9.66D-05  1.57D-07  6.48D-07  3.28D-07  5.80D-06  1.03
  6.00 -3.53e-01  3.50D-01  9.16D-08 -3.14D-02  4.35D-04  5.12D-02 -1.71D-02  1.70D-04 -1.95D-04 -2.52D-06 -1.30D-05 -1.03D-03  1.10D-03 -5.58D-05  6.19D-05  1.40D-07  5.42D-07  3.23D-07  4.70D-06  0.97
  5.50 -2.65e-01  2.62D-01  5.51D-08 -2.89D-02  2.76D-04  4.59D-02 -1.41D-02  1.52D-04 -1.77D-04 -2.59D-06 -6.74D-07 -9.87D-04  1.04D-03 -3.59D-05  4.11D-05  9.41D-08  3.60D-07  2.27D-07  3.48D-06  0.94
  5.00 -1.91e-01  1.88D-01  6.02D-08 -2.57D-02  3.10D-04  3.93D-02 -1.09D-02  1.29D-04 -1.58D-04 -1.95D-06 -7.33D-06 -7.88D-04  7.92D-04 -1.48D-05  1.76D-05  3.93D-08  1.44D-07  1.98D-07  2.46D-06  0.90
  4.50 -1.12e-01  1.09D-01  3.85D-08 -2.25D-02  2.56D-04  3.27D-02 -7.61D-03  9.98D-05 -1.38D-04 -1.45D-06 -4.13D-06 -5.81D-04  5.87D-04 -5.59D-06  7.20D-06  1.49D-08  5.12D-08  1.09D-07  1.45D-06  0.88
  4.00 -8.63D-02  8.38D-02  2.82D-08 -1.92D-02  2.16D-04  2.71D-02 -5.57D-03  7.31D-05 -1.17D-04 -6.99D-07 -2.10D-06 -4.63D-04  4.72D-04 -1.03D-07  1.13D-06  3.56D-09  1.31D-08  9.51D-08  9.51D-07  0.84
  3.50 -9.61e-02  8.19D-02  8.83D-10  3.78D-03  6.12D-04  1.06D-02 -3.92D-03  8.54D-05 -3.23D-05  2.32D-05  2.12D-05  1.79D-03  4.35D-05 -1.25D-05  1.24D-04  6.98D-05  1.85D-06  7.49D-05  9.73D-04  0.79
  3.00 -7.89D-02  6.57D-02  4.50D-11  5.03D-03  2.91D-04  8.25D-03 -2.41D-03  9.72D-05 -2.35D-05  2.57D-06 -7.88D-07  1.78D-03  3.48D-05 -8.11D-06  6.62D-05  4.27D-05  1.17D-07  7.69D-06  1.03D-06  0.74
  2.50 -4.94D-02  4.25D-02  5.54D-11  1.06D-03  2.29D-04  6.05D-03 -1.44D-03  1.18D-04 -1.81D-05  2.09D-06 -2.79D-06  8.20D-04  1.53D-05 -2.03D-06  1.88D-05  1.46D-05  4.92D-09  1.21D-06  6.55D-07  0.70
  2.00 -4.40D-02  2.92D-03 -6.46D-12  1.22D-03  1.34D-06  8.13D-05 -2.01D-05  3.43D-08  2.18D-09  1.28D-06 -1.41D-06  1.88D-04  3.93D-06 -9.30D-08  1.92D-06  1.99D-06  8.89D-09  4.58D-08  1.14D-07  0.67
  1.50 -1.04D-03  1.03D-04 -4.22D-12  0.00D-00  1.91D-06  1.54D-05 -6.87D-06  1.79D-08  1.69D-11  5.69D-07 -5.39D-08  0.00D-00  0.00D-00  0.00D-00  0.00D-00  0.00D-00  1.19D-10  0.00D-00  0.00D-00  0.63
  
  


#Z=Zsun (0.018)
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22      NA23     MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.702      0.28     1e-8      3.11e-3  3.11e-5   9.07e-4   8.42e-3      -         -       4.5e-7   1.89e-3      -      3.75e-5   7.2e-4       -         -         -       6.5e-5    7.94e-4
  8.00 -6.07D-01  5.90D-01  1.31D-07 -1.88D-02  5.32D-04  3.30D-02 -1.25D-02  2.59D-04  8.03D-07 -1.99D-06  0.00D+00  1.44D-02  3.66D-05 -7.97D-04  9.34D-04  1.76D-06  4.70D-06  3.37D-06  5.67D-06  1.23
  7.50 -6.34D-01  6.33D-01  5.85D-08 -1.81D-02  4.06D-04  3.30D-02 -1.46D-02  2.22D-04  3.60D-07 -2.19D-06  0.00D+00  7.25D-06  3.10D-05 -7.23D-04  8.53D-04  1.70D-06  4.76D-06  7.66D-07  1.08D-05  1.15
  7.00 -5.66D-01  5.65D-01  2.80D-08 -1.69D-02  3.96D-04  3.17D-02 -1.41D-02  1.46D-04  1.16D-07 -2.08D-06  0.00D+00  5.56D-06  3.00D-05 -6.45D-04  6.62D-04  3.35D-06  9.11D-06  6.17D-06  4.63D-06  1.06
  6.50 -4.70D-01  4.69D-01  2.50D-09 -1.58D-02  3.05D-04  2.97D-02 -1.32D-02  1.27D-04  7.15D-08 -2.03D-06  0.00D+00  4.68D-06  2.37D-05 -5.24D-04  5.24D-04  2.97D-06  7.92D-06  6.31D-06  3.07D-06  1.02
  6.00 -3.65D-01  3.64D-01 -1.74D-08 -1.44D-02  2.87D-04  2.65D-02 -1.18D-02  1.08D-04  5.92D-08 -1.91D-06  0.00D+00  9.27D-06  2.95D-05 -3.70D-04  3.76D-04  4.51D-06  7.41D-06  8.16D-06  4.12D-06  0.96
  5.50 -3.24D-01  3.21D-01 -3.07D-08 -1.25D-02  2.96D-04  2.59D-02 -1.07D-02  8.59D-05  1.83D-08 -1.80D-06  0.00D+00  3.08D-05  5.24D-05 -2.14D-04  2.37D-04  9.37D-06  4.28D-06  1.68D-05  5.93D-06  0.93
  5.00 -2.36D-01  2.33D-01 -2.66D-08 -1.14D-02  2.60D-04  2.33D-02 -9.03D-03  7.25D-05  1.44D-08 -1.59D-06  0.00D+00  2.82D-05  6.83D-05 -1.22D-04  1.40D-04  8.30D-06  2.59D-06  1.44D-05  5.01D-06  0.91
  4.50 -1.52D-01  1.48D-01 -2.70D-08 -9.95D-03  2.51D-04  2.02D-02 -6.63D-03  5.84D-05  1.17D-08 -1.32D-06  0.00D+00  2.61D-05  9.40D-05 -5.21D-05  7.32D-05  8.59D-06  1.20D-06  1.39D-05  4.33D-06  0.88
  4.00 -5.44D-02  4.92D-02 -1.77D-08 -8.28D-03  2.75D-04  1.65D-02 -3.58D-03  4.73D-05  2.35D-08 -9.55D-07  4.15D-05  4.19D-05  1.32D-04 -3.09D-05  6.13D-05  1.30D-05  8.02D-07  2.42D-05  2.93D-06  0.84
  3.50 -4.84D-02  3.75D-02 -9.60D-09 -4.46D-03  4.48D-04  1.38D-02 -7.18D-04  3.31D-05  2.47D-08  1.47D-07  4.90D-04  2.55D-04  1.36D-04 -1.34D-05  8.55D-05  3.09D-05  3.44D-07  4.00D-05  8.21D-04  0.79
  3.00 -9.86D-02  7.91D-02 -2.33D-08  1.38D-02  1.28D-04  4.54D-03 -3.85D-04  2.92D-05 -1.25D-05  8.49D-07  0.00D+00  1.28D-03  2.19D-05  0.00D+00  7.71D-05  4.42D-05  2.01D-09  1.10D-05  0.00D+00  0.67
  2.50 -5.31D-02  3.84D-02 -1.80D-08  1.09D-02  8.51D-05  2.49D-03  2.20D-04  2.66D-05 -8.17D-06  2.01D-06  0.00D+00  9.11D-04  1.44D-05  0.00D+00  2.18D-05  1.62D-05  1.01D-09  0.00D+00  0.00D+00  0.63
  2.25 -5.53D-02  4.37D-02 -1.61D-08  8.22D-03  8.64D-05  2.63D-03 -1.11D-04  3.50D-05 -8.21D-06  1.40D-06  0.00D+00  7.06D-04  1.07D-05  0.00D+00  1.88D-05  1.37D-05  9.94D-10  0.00D+00  0.00D+00  0.63
  2.00 -3.49D-02  2.67D-02 -1.38D-08  5.69D-03  8.70D-05  1.65D-03  3.65D-04 -4.13D-08 -3.36D-07  1.14D-06  0.00D+00  3.53D-04  4.99D-06  0.00D+00  6.16D-06  5.18D-06  4.27D-10  0.00D+00  0.00D+00  0.62
  1.75 -3.00D-02  2.27D-02 -1.13D-08  5.17D-03  9.96D-05  1.35D-03  3.08D-04 -4.17D-08 -3.36D-07  1.16D-06  0.00D+00  3.32D-04  4.81D-06  0.00D+00  5.42D-06  4.64D-06  5.63D-10  0.00D+00  0.00D+00  0.61
  1.50 -1.99D-02  1.60D-02 -8.91D-09  2.59D-03  6.24D-05  8.76D-04  1.81D-04 -1.63D-08 -1.83D-07  7.97D-07  0.00D+00  1.52D-04  2.23D-06  0.00D+00  2.00D-06  1.88D-06  2.91D-10  0.00D+00  0.00D+00  0.61
  1.25 -1.49D-02  1.32D-02 -6.57D-09  9.90D-04  4.60D-05  5.20D-04  7.67D-05 -4.07D-10 -9.05D-08  4.77D-07  0.00D+00  5.58D-05  8.15D-07  0.00D+00  5.25D-07  5.62D-07  1.09D-10  0.00D+00  0.00D+00  0.59
  1.00 -8.98D-03  8.74D-03 -4.37D-09  0.00D+00  2.73D-05  2.13D-04 -4.25D-06  1.48D-08  1.26D-11  1.58D-07  0.00D+00  2.28D-10  0.00D+00  0.00D+00  1.72D-12  4.08D-13  7.15D-13  0.00D+00  0.00D+00  0.56
  
#Z=0.008
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22     NA23      MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.732      0.26      1e-8    9.84e-4      -      2.89e-4   4.25e-3      -         -      2.16e-7   9.36e-4   5.42e-5   1.19e-5   3.63e-4   2.81e-5   3.22e-5      -      2.07e-5    4.e-4
  8.00 -7.02D-01  7.01D-01  1.90D-07 -5.86D-03  1.70D-04  1.49D-02 -8.81D-03  1.93D-04  2.82D-06 -2.92D-07  5.69D-05 -2.72D-04  3.37D-04 -1.09D-03  1.27D-03 -3.52D-06  6.78D-06  7.00D-05  8.40D-06  1.32
